time_days,Nuclei:Pb212 top 15
1.1574074074074073e-05,3.440318103891664e-88
1.1576109151910821e-05,3.4403181038568616e-88
1.157814458757678e-05,3.440318103822053e-88
1.158018038113487e-05,3.4403181037872376e-88
1.1582216532648015e-05,3.4403181037524167e-88
1.1584253042179158e-05,3.44031810371759e-88
1.1586289909791249e-05,3.440318103682757e-88
1.1588327135547246e-05,3.4403181036479176e-88
1.1590364719510128e-05,3.440318103613072e-88
1.1592402661742875e-05,3.4403181035782205e-88
1.1594440962308483e-05,3.4403181035433627e-88
1.1596479621269957e-05,3.4403181035084994e-88
1.1598518638690315e-05,3.4403181034736293e-88
1.1600558014632583e-05,3.440318103438753e-88
1.1602597749159803e-05,3.440318103403871e-88
1.1604637842335022e-05,3.440318103368983e-88
1.1606678294221306e-05,3.4403181033340883e-88
1.1608719104881723e-05,3.440318103299188e-88
1.1610760274379357e-05,3.4403181032642807e-88
1.1612801802777306e-05,3.4403181032293677e-88
1.1614843690138673e-05,3.440318103194449e-88
1.1616885936526574e-05,3.4403181031595243e-88
1.1618928542004138e-05,3.4403181031245923e-88
1.1620971506634507e-05,3.4403181030896553e-88
1.1623014830480826e-05,3.4403181030547116e-88
1.162505851360626e-05,3.440318103019762e-88
1.1627102556073979e-05,3.4403181029848063e-88
1.1629146957947168e-05,3.4403181029498436e-88
1.163119171928902e-05,3.4403181029148754e-88
1.1633236840162742e-05,3.4403181028799015e-88
1.1635282320631548e-05,3.440318102844921e-88
1.163732816075867e-05,3.440318102809934e-88
1.1639374360607345e-05,3.440318102774942e-88
1.1641420920240822e-05,3.440318102739943e-88
1.1643467839722364e-05,3.440318102704938e-88
1.1645515119115243e-05,3.4403181026699267e-88
1.1647562758482743e-05,3.4403181026349093e-88
1.1649610757888157e-05,3.440318102599886e-88
1.1651659117394789e-05,3.440318102564856e-88
1.1653707837065959e-05,3.44031810252982e-88
1.1655756916964996e-05,3.440318102494778e-88
1.1657806357155237e-05,3.44031810245973e-88
1.1659856157700035e-05,3.440318102424675e-88
1.1661906318662747e-05,3.440318102389615e-88
1.1663956840106745e-05,3.440318102354548e-88
1.1666007722095419e-05,3.4403181023194755e-88
1.1668058964692159e-05,3.440318102284396e-88
1.1670110567960373e-05,3.4403181022493107e-88
1.1672162531963473e-05,3.44031810221422e-88
1.1674214856764896e-05,3.4403181021791224e-88
1.1676267542428077e-05,3.440318102144019e-88
1.1678320589016465e-05,3.440318102108909e-88
1.1680373996593523e-05,3.4403181020737923e-88
1.1682427765222725e-05,3.4403181020386706e-88
1.1684481894967554e-05,3.440318102003542e-88
1.1686536385891505e-05,3.4403181019684076e-88
1.1688591238058084e-05,3.440318101933267e-88
1.1690646451530811e-05,3.44031810189812e-88
1.1692702026373212e-05,3.440318101862967e-88
1.169475796264883e-05,3.440318101827808e-88
1.1696814260421214e-05,3.440318101792642e-88
1.1698870919753925e-05,3.4403181017574706e-88
1.170092794071054e-05,3.4403181017222925e-88
1.1702985323354636e-05,3.440318101687109e-88
1.1705043067749818e-05,3.440318101651919e-88
1.170710117395969e-05,3.4403181016167224e-88
1.1709159642047868e-05,3.4403181015815203e-88
1.1711218472077982e-05,3.440318101546311e-88
1.1713277664113672e-05,3.4403181015110965e-88
1.1715337218218593e-05,3.4403181014758754e-88
1.1717397134456403e-05,3.4403181014406477e-88
1.1719457412890783e-05,3.4403181014054143e-88
1.172151805358541e-05,3.440318101370175e-88
1.1723579056603986e-05,3.4403181013349286e-88
1.1725640422010216e-05,3.440318101299677e-88
1.1727702149867825e-05,3.4403181012644183e-88
1.1729764240240532e-05,3.440318101229154e-88
1.1731826693192089e-05,3.440318101193883e-88
1.173388950878624e-05,3.440318101158606e-88
1.1735952687086755e-05,3.440318101123323e-88
1.1738016228157407e-05,3.440318101088033e-88
1.174008013206198e-05,3.440318101052738e-88
1.1742144398864272e-05,3.4403181010174365e-88
1.1744209028628096e-05,3.440318100982129e-88
1.1746274021417267e-05,3.440318100946814e-88
1.1748339377295616e-05,3.4403181009114936e-88
1.1750405096326988e-05,3.4403181008761676e-88
1.1752471178575235e-05,3.440318100840835e-88
1.1754537624104223e-05,3.440318100805496e-88
1.1756604432977824e-05,3.440318100770151e-88
1.1758671605259932e-05,3.440318100734799e-88
1.1760739141014437e-05,3.4403181006994415e-88
1.1762807040305254e-05,3.4403181006640776e-88
1.1764875303196305e-05,3.440318100628708e-88
1.1766943929751517e-05,3.440318100593331e-88
1.1769012920034836e-05,3.440318100557949e-88
1.1771082274110218e-05,3.4403181005225603e-88
1.1773151992041629e-05,3.4403181004871646e-88
1.1775222073893044e-05,3.440318100451764e-88
1.1777292519728452e-05,3.440318100416356e-88
1.177936332961185e-05,3.440318100380943e-88
1.1781434503607254e-05,3.4403181003455234e-88
1.1783506041778683e-05,3.440318100310097e-88
1.178557794419017e-05,3.4403181002746643e-88
1.1787650210905758e-05,3.440318100239226e-88
1.178972284198951e-05,3.440318100203782e-88
1.1791795837505486e-05,3.44031810016833e-88
1.1793869197517767e-05,3.440318100132873e-88
1.179594292209044e-05,3.440318100097409e-88
1.1798017011287611e-05,3.44031810006194e-88
1.180009146517339e-05,3.440318100026464e-88
1.1802166283811898e-05,3.4403180999909813e-88
1.180424146726727e-05,3.4403180999554935e-88
1.1806317015603657e-05,3.440318099919999e-88
1.1808392928885212e-05,3.4403180998844977e-88
1.1810469207176105e-05,3.440318099848991e-88
1.1812545850540515e-05,3.440318099813477e-88
1.1814622859042633e-05,3.4403180997779576e-88
1.1816700232746663e-05,3.440318099742432e-88
1.1818777971716817e-05,3.4403180997068993e-88
1.182085607601732e-05,3.440318099671361e-88
1.182293454571241e-05,3.4403180996358164e-88
1.1825013380866334e-05,3.440318099600266e-88
1.182709258154335e-05,3.4403180995647084e-88
1.1829172147807727e-05,3.440318099529145e-88
1.183125207972375e-05,3.4403180994935753e-88
1.183333237735571e-05,3.4403180994579993e-88
1.1835413040767908e-05,3.4403180994224177e-88
1.1837494070024666e-05,3.440318099386829e-88
1.1839575465190307e-05,3.440318099351235e-88
1.1841657226329168e-05,3.440318099315634e-88
1.18437393535056e-05,3.4403180992800264e-88
1.1845821846783964e-05,3.4403180992444124e-88
1.184790470622863e-05,3.4403180992087934e-88
1.1849987931903983e-05,3.440318099173167e-88
1.1852071523874415e-05,3.440318099137535e-88
1.1854155482204337e-05,3.440318099101896e-88
1.185623980695816e-05,3.440318099066252e-88
1.185832449820032e-05,3.4403180990306007e-88
1.186040955599525e-05,3.440318098994944e-88
1.1862494980407405e-05,3.44031809895928e-88
1.1864580771501242e-05,3.44031809892361e-88
1.1866666929341244e-05,3.440318098887934e-88
1.1868753453991893e-05,3.4403180988522517e-88
1.1870840345517681e-05,3.440318098816563e-88
1.187292760398312e-05,3.440318098780868e-88
1.187501522945273e-05,3.440318098745167e-88
1.1877103221991039e-05,3.44031809870946e-88
1.1879191581662589e-05,3.440318098673746e-88
1.1881280308531934e-05,3.440318098638026e-88
1.188336940266364e-05,3.440318098602299e-88
1.1885458864122283e-05,3.440318098566567e-88
1.1887548692972447e-05,3.440318098530828e-88
1.1889638889278737e-05,3.440318098495083e-88
1.1891729453105753e-05,3.440318098459332e-88
1.1893820384518129e-05,3.4403180984235734e-88
1.1895911683580489e-05,3.44031809838781e-88
1.1898003350357477e-05,3.4403180983520396e-88
1.1900095384913753e-05,3.4403180983162626e-88
1.190218778731398e-05,3.44031809828048e-88
1.1904280557622842e-05,3.440318098244691e-88
1.1906373695905023e-05,3.4403180982088955e-88
1.1908467202225226e-05,3.440318098173094e-88
1.1910561076648163e-05,3.440318098137285e-88
1.1912655319238558e-05,3.4403180981014714e-88
1.1914749930061148e-05,3.440318098065651e-88
